,date_of_birth,date_of_photo_shoot,face_score,file_path,age
157,1986-08-08,2014,4.63568802685,46/10080646_1986-08-08_2014.jpg,28
158,1924-07-13,1945,1.44580151044,71/1008071_1924-07-13_1945.jpg,21
159,1956-12-17,2009,4.16178112749,33/1008133_1956-12-17_2009.jpg,53
160,1915-04-03,1996,2.00596311144,50/10081450_1915-04-03_1996.jpg,81
161,1930-06-03,1965,2.78132368865,67/10081867_1930-06-03_1965.jpg,35
163,1958-06-17,2009,5.36078659373,83/1008283_1958-06-17_2009.jpg,51
164,1924-08-13,1958,4.22622588942,38/1008338_1924-08-13_1958.jpg,34
165,1971-10-26,2006,2.92208738449,52/1008352_1971-10-26_2006.jpg,35
166,1948-09-24,1978,2.75949443325,40/100840_1948-09-24_1978.jpg,30
167,1989-03-21,2014,4.25846305884,76/10084176_1989-03-21_2014.jpg,25
168,1971-10-09,2010,3.00703735604,01/1008501_1971-10-09_2010.jpg,39
169,1974-09-19,2015,3.47116065382,06/1008506_1974-09-19_2015.jpg,41
170,1977-11-01,2008,3.97166905216,26/10086626_1977-11-01_2008.jpg,31
172,1921-07-23,1990,2.38714957449,66/100866_1921-07-23_1990.jpg,69
173,1978-06-21,2009,2.32204348043,63/1008763_1978-06-21_2009.jpg,31
175,1945-02-05,1973,4.27389281284,81/10088281_1945-02-05_1973.jpg,28
176,1938-04-10,1976,5.47180120843,40/1008840_1938-04-10_1976.jpg,38
177,1956-11-10,2008,3.17827661966,76/10088476_1956-11-10_2008.jpg,52
178,1929-06-26,2003,1.10101230618,84/1008884_1929-06-26_2003.jpg,74
179,1982-04-06,2002,3.59672817989,54/10088854_1982-04-06_2002.jpg,20
180,1962-09-18,2010,2.24380640403,05/1008905_1962-09-18_2010.jpg,48
181,1982-07-31,2009,3.70820333937,10/10089110_1982-07-31_2009.jpg,27
183,1969-08-19,2000,5.06877012717,44/10089844_1969-08-19_2000.jpg,31
185,1963-06-24,2010,1.7768559688,09/1009109_1963-06-24_2010.jpg,47
186,1986-03-16,2012,4.448780374,74/10093174_1986-03-16_2012.jpg,26
189,1989-07-21,2011,5.37780355878,85/10093585_1989-07-21_2011.jpg,22
190,1944-05-25,2012,2.57255561481,36/100936_1944-05-25_2012.jpg,68
191,1985-09-07,2012,3.19118413707,46/10093846_1985-09-07_2012.jpg,27
192,1981-03-06,2007,3.23021463316,53/1009453_1981-03-06_2007.jpg,26
193,1950-05-26,1972,1.60812797196,52/10095252_1950-05-26_1972.jpg,22
194,1985-07-10,2012,2.21105414364,55/10095655_1985-07-10_2012.jpg,27
199,1981-06-16,2010,2.40630147494,56/10099956_1981-06-16_2010.jpg,29
201,1906-09-02,1941,3.99875798829,36/20000636_1906-09-02_1941.jpg,35
202,1975-11-30,1996,3.98301375793,19/2000219_1975-11-30_1996.jpg,21
203,1932-11-06,2009,2.4885044811,15/2000415_1932-11-06_2009.jpg,77
204,1949-12-15,1986,2.74176190596,53/200053_1949-12-15_1986.jpg,37
205,1981-10-01,2013,4.81291178634,62/2000562_1981-10-01_2013.jpg,32
207,1991-08-05,2009,5.36869393695,88/20005788_1991-08-05_2009.jpg,18
208,1979-07-30,2012,2.43925229638,81/2000781_1979-07-30_2012.jpg,33
209,1950-03-02,2011,3.47816752205,74/20008074_1950-03-02_2011.jpg,61
211,1975-08-11,2011,4.37527911057,58/20008258_1975-08-11_2011.jpg,36
212,1968-05-15,2007,3.87167542,64/20010364_1968-05-15_2007.jpg,39
214,1960-01-05,2013,3.0790350032,18/2001318_1960-01-05_2013.jpg,53
215,1986-05-19,2012,5.53899369312,06/20013406_1986-05-19_2012.jpg,26
216,1925-09-13,1958,3.20850041941,13/20013513_1925-09-13_1958.jpg,33
219,1910-06-30,2005,2.63005485567,42/20015042_1910-06-30_2005.jpg,95
220,1990-11-12,2011,3.91382145758,78/20015278_1990-11-12_2011.jpg,21
221,1978-09-14,2010,2.60381892815,34/20015634_1978-09-14_2010.jpg,32
224,1947-01-20,1993,5.10326526195,40/2001740_1947-01-20_1993.jpg,46
225,1967-12-30,1995,1.84752343695,80/2001780_1967-12-30_1995.jpg,28
226,1983-02-23,2011,1.69049754381,83/20020283_1983-02-23_2011.jpg,28
227,1964-11-06,2007,2.31390524923,02/200202_1964-11-06_2007.jpg,43
229,1990-01-13,2014,5.00093325009,61/20022961_1990-01-13_2014.jpg,24
230,1989-08-09,2005,0.858255447444,08/2002308_1989-08-09_2005.jpg,16
234,1990-07-29,2008,2.34931262778,65/20024365_1990-07-29_2008.jpg,18
235,1938-01-14,2014,0.943948891582,52/200252_1938-01-14_2014.jpg,76
236,1979-03-10,2009,3.35103556638,55/20025755_1979-03-10_2009.jpg,30
237,1920-03-01,1948,2.17757772582,10/2002610_1920-03-01_1948.jpg,28
238,1923-01-14,1951,3.6060336954,69/20027069_1923-01-14_1951.jpg,28
239,1990-06-17,2014,3.97556474214,50/20027350_1990-06-17_2014.jpg,24
241,1982-09-28,2013,3.60529234581,56/2002856_1982-09-28_2013.jpg,31
242,1988-03-19,2009,2.91828491668,87/20028987_1988-03-19_2009.jpg,21
243,1979-06-03,2014,2.1924627206,29/20029729_1979-06-03_2014.jpg,35
244,1972-03-17,2011,1.3338642377,46/2003146_1972-03-17_2011.jpg,39
245,1982-10-11,2011,1.4558042145,34/2003234_1982-10-11_2011.jpg,29
246,1941-08-30,2015,2.73117319295,82/20032482_1941-08-30_2015.jpg,74
248,1953-05-15,2006,2.34188201747,32/20032_1953-05-15_2006.jpg,53
249,1967-06-29,2009,4.33382005699,40/20033040_1967-06-29_2009.jpg,42
251,1957-12-14,2014,4.08445135546,35/20033935_1957-12-14_2014.jpg,57
252,1986-06-29,2009,3.34028699288,55/20034355_1986-06-29_2009.jpg,23
254,1881-09-05,1944,3.43230147295,57/200357_1881-09-05_1944.jpg,63
256,1944-08-31,2012,2.77498173213,40/2003740_1944-08-31_2012.jpg,68
257,1924-08-31,1971,2.4774452953,36/20038036_1924-08-31_1971.jpg,47
259,1885-11-30,1940,3.24801396564,85/200385_1885-11-30_1940.jpg,55
260,1991-09-05,2008,0.994532157039,15/20039715_1991-09-05_2008.jpg,17
261,1982-09-28,2012,0.910290408629,01/2004001_1982-09-28_2012.jpg,30
262,1894-10-26,1944,3.68992248256,03/20042203_1894-10-26_1944.jpg,50
263,1982-09-03,2014,2.00613932635,30/2004430_1982-09-03_2014.jpg,32
265,1986-03-12,2009,2.37508530577,52/20045952_1986-03-12_2009.jpg,23
266,1961-05-26,2011,5.27778250997,55/2004855_1961-05-26_2011.jpg,50
267,1952-02-06,2008,1.62790337145,35/2004935_1952-02-06_2008.jpg,56
269,1967-11-21,2010,3.58289514232,28/20050128_1967-11-21_2010.jpg,43
273,1972-10-22,2008,6.18273825572,90/2005290_1972-10-22_2008.jpg,36
274,1982-04-06,2009,2.86080294478,72/20053572_1982-04-06_2009.jpg,27
275,1935-08-25,1956,3.14167547575,58/20054558_1935-08-25_1956.jpg,21
276,1956-11-21,2009,3.34329754423,74/2005574_1956-11-21_2009.jpg,53
277,1971-05-27,2014,2.56773814136,63/200563_1971-05-27_2014.jpg,43
278,1947-01-24,1978,4.01713145122,91/200591_1947-01-24_1978.jpg,31
279,1919-01-08,1942,1.71068863735,86/20060786_1919-01-08_1942.jpg,23
281,1987-10-05,2011,2.18319070689,62/20063362_1987-10-05_2011.jpg,24
283,1907-12-25,1945,3.35173750113,61/2006361_1907-12-25_1945.jpg,38
284,1986-10-12,2014,2.62353828274,82/20064382_1986-10-12_2014.jpg,28
285,1931-01-20,2007,1.70298926459,75/2006475_1931-01-20_2007.jpg,76
286,1981-05-10,2014,2.78631209686,85/2006485_1981-05-10_2014.jpg,33
287,1935-11-24,1960,3.40741309062,81/20065381_1935-11-24_1960.jpg,25
289,1919-10-26,1973,4.55907724882,98/20065598_1919-10-26_1973.jpg,54
290,1966-10-29,2003,3.23991968402,79/2006579_1966-10-29_2003.jpg,37
292,1980-02-27,2008,2.3908481785,83/200683_1980-02-27_2008.jpg,28
293,1949-06-19,2011,3.93357349956,09/20068709_1949-06-19_2011.jpg,62
294,1974-04-24,2009,4.74976975224,78/20069078_1974-04-24_2009.jpg,35
295,1962-07-07,2011,3.49327683357,30/2006930_1962-07-07_2011.jpg,49
297,1979-07-26,2004,2.47455286075,24/20069824_1979-07-26_2004.jpg,25
298,1985-12-28,2013,2.82267164198,69/20070169_1985-12-28_2013.jpg,28
299,1945-06-15,2015,3.28458209703,94/2007194_1945-06-15_2015.jpg,70
300,1920-09-13,1970,1.84709166449,35/2007335_1920-09-13_1970.jpg,50
304,1973-04-14,2014,4.62303667852,50/200750_1973-04-14_2014.jpg,41
305,1981-01-26,2010,1.46893333018,71/20076571_1981-01-26_2010.jpg,29
306,1952-05-06,2014,2.93438404889,87/2007787_1952-05-06_2014.jpg,62
307,1970-05-03,2009,3.83212555885,16/2008016_1970-05-03_2009.jpg,39
308,1933-05-12,2008,1.87253811629,97/2008097_1933-05-12_2008.jpg,75
309,1941-09-29,1980,4.51911070358,22/200822_1941-09-29_1980.jpg,39
310,1986-01-06,2008,4.95278615984,50/20084050_1986-01-06_2008.jpg,22
313,1963-06-09,2007,1.98581741234,84/2008784_1963-06-09_2007.jpg,44
314,1935-02-14,1956,4.54427262822,29/20088629_1935-02-14_1956.jpg,21
315,1927-01-29,1955,4.27416340844,13/20089113_1927-01-29_1955.jpg,28
316,1976-11-19,2012,4.84469222351,15/20089715_1976-11-19_2012.jpg,36
317,1929-01-27,2011,2.06325375194,89/20089_1929-01-27_2011.jpg,82
318,1947-08-07,1969,1.03849289098,95/2009095_1947-08-07_1969.jpg,22
319,1985-09-16,2010,6.06816483625,26/2009326_1985-09-16_2010.jpg,25
320,1964-05-13,2008,3.78479862915,14/2009614_1964-05-13_2008.jpg,44
321,1979-11-18,2014,3.87514038028,16/20096416_1979-11-18_2014.jpg,35
322,1988-03-24,2013,1.5292536909,23/20096423_1988-03-24_2013.jpg,25
323,1983-08-13,2014,1.41565563895,71/2009771_1983-08-13_2014.jpg,31
324,1959-11-29,2008,4.07228807846,67/2009867_1959-11-29_2008.jpg,49
325,1931-07-18,1957,1.22356582887,50/20099950_1931-07-18_1957.jpg,26
326,1898-02-03,1950,1.2629624129,09/2009_1898-02-03_1950.jpg,52
327,1978-03-05,2013,2.23856820339,72/3000072_1978-03-05_2013.jpg,35
329,1989-09-04,2011,3.25793710547,36/30001236_1989-09-04_2011.jpg,22
330,1984-12-17,2013,2.5920938196,35/30001835_1984-12-17_2013.jpg,29
331,1989-08-31,2012,0.802226689159,17/30003517_1989-08-31_2012.jpg,23
333,1993-04-18,2013,1.24173928276,28/30003728_1993-04-18_2013.jpg,20
334,1991-05-15,2011,2.10732460206,56/30004256_1991-05-15_2011.jpg,20
337,1925-09-10,1948,2.55282527685,25/30007125_1925-09-10_1948.jpg,23
338,1962-06-25,2011,2.92728596047,57/30007557_1962-06-25_2011.jpg,49
339,1984-11-15,2012,4.24969291784,87/30008387_1984-11-15_2012.jpg,28
340,1992-07-24,2015,4.3473969531,53/30009853_1992-07-24_2015.jpg,23
341,1978-05-26,2008,2.85335265266,89/3001089_1978-05-26_2008.jpg,30
342,1977-08-08,2011,4.64208681187,99/3001099_1977-08-08_2011.jpg,34
343,1981-03-17,2012,0.930700158707,33/3001133_1981-03-17_2012.jpg,31
345,1946-03-05,2013,0.871704042588,14/300114_1946-03-05_2013.jpg,67
346,1989-09-26,2013,1.47867090317,31/30011631_1989-09-26_2013.jpg,24
347,1964-01-29,2010,4.35646716733,35/30011835_1964-01-29_2010.jpg,46
350,1981-01-31,2012,3.72998297978,26/3001226_1981-01-31_2012.jpg,31
351,1985-09-30,2014,2.71141069889,47/3001247_1985-09-30_2014.jpg,29
353,1987-04-20,2012,1.32017324701,53/30012853_1987-04-20_2012.jpg,25
354,1944-09-27,2010,3.7295535089,77/3001477_1944-09-27_2010.jpg,66
357,1992-06-08,2014,0.97246827683,21/30015421_1992-06-08_2014.jpg,22
361,1971-04-16,2011,4.71027503141,53/3002053_1971-04-16_2011.jpg,40
363,1988-02-23,2013,2.18414365705,64/30020764_1988-02-23_2013.jpg,25
364,1984-09-20,2011,5.12560892186,29/30021129_1984-09-20_2011.jpg,27
366,1986-07-12,2012,2.84843826636,06/30022306_1986-07-12_2012.jpg,26
367,1968-03-18,2007,5.19168153921,36/30022636_1968-03-18_2007.jpg,39
368,1982-09-01,2008,2.50237215861,22/30026522_1982-09-01_2008.jpg,26
369,1963-01-07,2009,0.934686640396,68/300268_1963-01-07_2009.jpg,46
370,1925-11-05,2008,4.00953099649,25/30028425_1925-11-05_2008.jpg,83
371,1961-06-30,2008,2.98705490682,12/30028612_1961-06-30_2008.jpg,47
372,1961-05-04,2009,1.48720777781,76/3002876_1961-05-04_2009.jpg,48
373,1983-04-07,2012,3.89172233941,12/3002912_1983-04-07_2012.jpg,29
374,1928-02-16,2013,1.21215643054,80/3002980_1928-02-16_2013.jpg,85
375,1948-04-28,2012,2.20169481898,29/30029_1948-04-28_2012.jpg,64
376,1956-12-23,2014,4.37786221644,21/3003021_1956-12-23_2014.jpg,58
379,1950-05-12,2011,0.886086179735,43/3003343_1950-05-12_2011.jpg,61
380,1966-11-10,2009,2.78226265929,79/3003379_1966-11-10_2009.jpg,43
382,1957-04-20,2011,4.71301183518,47/30034447_1957-04-20_2011.jpg,54
383,1955-06-08,2014,4.57759687977,34/30034_1955-06-08_2014.jpg,59
384,1986-01-06,2014,2.43927238407,83/3003683_1986-01-06_2014.jpg,28
387,1941-12-17,2011,1.66402983987,80/30038580_1941-12-17_2011.jpg,70
388,1986-10-04,2012,2.44108718905,67/30038667_1986-10-04_2012.jpg,26
389,1985-04-01,2006,4.19098176174,03/30040203_1985-04-01_2006.jpg,21
390,1992-08-13,2015,1.8572590449,35/30040535_1992-08-13_2015.jpg,23
392,1985-10-13,2014,1.04906522782,63/3004363_1985-10-13_2014.jpg,29
394,1958-01-09,2011,2.83157769086,51/30045851_1958-01-09_2011.jpg,53
395,1984-01-23,2012,1.30607274291,96/3004596_1984-01-23_2012.jpg,28
396,1945-12-11,2012,4.02932195931,02/30046202_1945-12-11_2012.jpg,67
397,1917-12-05,1959,2.81330175466,31/3004631_1917-12-05_1959.jpg,42
398,1979-03-05,2010,3.25606960269,34/3004634_1979-03-05_2010.jpg,31
399,1984-01-31,2014,2.2403323763,71/3004671_1984-01-31_2014.jpg,30
401,1985-09-03,2012,3.10994270159,39/30049039_1985-09-03_2012.jpg,27
403,1959-03-14,2006,1.46758890698,52/30050352_1959-03-14_2006.jpg,47
404,1968-08-09,2009,3.86107625018,72/3005072_1968-08-09_2009.jpg,41
405,1986-10-22,2010,2.40186416691,04/30052704_1986-10-22_2010.jpg,24
406,1949-08-20,1980,1.03537486719,61/300561_1949-08-20_1980.jpg,31
408,1992-02-29,2010,1.84820365379,97/30057197_1992-02-29_2010.jpg,18
409,1991-12-09,2014,4.11341829156,13/30058713_1991-12-09_2014.jpg,23
411,1935-08-20,2005,1.60818523792,34/30060834_1935-08-20_2005.jpg,70
412,1991-03-12,2015,3.05734163291,62/30061462_1991-03-12_2015.jpg,24
413,1991-03-13,2010,3.81795995681,79/30062079_1991-03-13_2010.jpg,19
414,1968-11-26,2009,2.9683944852,60/30062160_1968-11-26_2009.jpg,41
415,1922-12-16,1948,2.47602302213,55/30063955_1922-12-16_1948.jpg,26
416,1992-11-19,2011,1.98154694528,87/30064987_1992-11-19_2011.jpg,19
417,1894-09-15,1977,3.17809176583,50/300650_1894-09-15_1977.jpg,83
418,1992-03-02,2012,3.78770874338,13/30065213_1992-03-02_2012.jpg,20
419,1911-10-20,1941,4.72293614544,58/30066658_1911-10-20_1941.jpg,30
420,1949-03-28,2005,3.58745636304,51/3006751_1949-03-28_2005.jpg,56
421,1977-01-12,2009,4.97012731783,56/3006756_1977-01-12_2009.jpg,32
422,1961-08-26,2011,3.44020713949,50/3006850_1961-08-26_2011.jpg,50
423,1954-10-30,2014,2.95306423319,02/3006902_1954-10-30_2014.jpg,60
425,1944-12-22,2008,0.732348598667,99/300699_1944-12-22_2008.jpg,64
426,1930-10-11,2010,3.91065506259,57/3007157_1930-10-11_2010.jpg,80
427,1989-11-14,2012,4.0746154707,49/30072249_1989-11-14_2012.jpg,23
429,1954-09-07,2013,4.81094718694,77/3007277_1954-09-07_2013.jpg,59
430,1992-02-15,2014,5.23648414693,89/30073089_1992-02-15_2014.jpg,22
431,1938-06-08,2000,3.6920792394,35/3007535_1938-06-08_2000.jpg,62
432,1991-07-06,2014,0.758060216705,43/30075943_1991-07-06_2014.jpg,23
433,1992-09-21,2012,1.83690665448,55/30076355_1992-09-21_2012.jpg,20
434,1993-07-20,2014,4.47510226628,45/30079345_1993-07-20_2014.jpg,21
436,1986-07-31,2012,1.93982496161,94/3008194_1986-07-31_2012.jpg,26
438,1957-09-10,2014,4.66824004102,19/3008319_1957-09-10_2014.jpg,57
439,1932-08-08,1955,2.50915122771,44/30085244_1932-08-08_1955.jpg,23
441,1978-05-02,2009,0.994922640448,14/3008614_1978-05-02_2009.jpg,31
444,1970-06-26,2013,4.29897332113,93/3008793_1970-06-26_2013.jpg,43
445,1962-04-27,2006,1.39979802622,16/3008816_1962-04-27_2006.jpg,44
446,1961-03-31,2002,2.86071372831,37/3008837_1961-03-31_2002.jpg,41
448,1905-06-20,1980,2.38162853737,00/30092400_1905-06-20_1980.jpg,75
449,1987-12-10,2013,3.44414547389,19/30092419_1987-12-10_2013.jpg,26
450,1986-02-21,2009,2.92107754413,72/3009272_1986-02-21_2009.jpg,23
451,1994-07-09,2012,4.24080035925,48/30093048_1994-07-09_2012.jpg,18
452,1992-03-14,2013,4.61126065468,96/30093896_1992-03-14_2013.jpg,21
453,1965-04-06,2005,2.23352490246,31/3009831_1965-04-06_2005.jpg,40
455,1985-10-07,2009,4.41887715827,63/30099963_1985-10-07_2009.jpg,24
457,1976-03-15,2009,4.96278140183,41/4000241_1976-03-15_2009.jpg,33
458,1986-09-28,2007,2.60776437268,30/40004330_1986-09-28_2007.jpg,21
460,1939-10-10,1997,5.26050579858,62/400062_1939-10-10_1997.jpg,58
462,1911-05-20,1984,2.82869825719,61/4001161_1911-05-20_1984.jpg,73
463,1897-10-05,1965,0.81717351044,47/40012347_1897-10-05_1965.jpg,68
468,1958-07-14,2009,4.21438139837,48/40021348_1958-07-14_2009.jpg,51
470,1989-01-23,2014,3.22604119389,72/40023572_1989-01-23_2014.jpg,25
473,1946-06-06,2008,2.07342588319,93/400293_1946-06-06_2008.jpg,62
474,1987-09-11,2014,5.04352782631,51/40031851_1987-09-11_2014.jpg,27
475,1993-04-18,2013,4.97876766989,41/40032041_1993-04-18_2013.jpg,20
478,1946-07-10,1985,0.836182465645,54/40034454_1946-07-10_1985.jpg,39
481,1952-01-02,2004,2.04859638467,46/4003746_1952-01-02_2004.jpg,52
482,1972-06-01,2005,1.31880447422,05/4003805_1972-06-01_2005.jpg,33
